datetime,open,high,low,close,volume
2026-03-09 13:30:00,24439.8203125,24480.6875,24331.51953125,24337.119140625,50585757.0
2026-03-09 13:45:00,24343.994140625,24380.73046875,24289.3203125,24344.642578125,62949624.0
2026-03-09 14:00:00,24341.404296875,24445.005859375,24302.611328125,24323.21875,57912710.0
2026-03-09 14:15:00,24328.27734375,24437.8828125,24320.7734375,24373.66015625,48112771.0
2026-03-09 14:30:00,24391.0625,24502.703125,24387.453125,24502.703125,44702009.0
2026-03-09 14:45:00,24508.689453125,24550.34765625,24504.65234375,24520.513671875,40995191.0
2026-03-09 15:00:00,24535.66796875,24580.6328125,24526.32421875,24566.814453125,37116307.0
2026-03-09 15:15:00,24580.412109375,24619.484375,24559.533203125,24617.240234375,34401237.0
2026-03-09 15:30:00,24615.701171875,24615.701171875,24568.779296875,24581.140625,34394324.0
2026-03-09 15:45:00,24581.408203125,24627.763671875,24577.982421875,24618.783203125,30456274.0
2026-03-09 16:00:00,24616.3984375,24645.712890625,24606.79296875,24636.4296875,27220322.0
2026-03-09 16:15:00,24635.212890625,24692.861328125,24608.41796875,24660.759765625,28667977.0
2026-03-09 16:30:00,24665.9453125,24714.28125,24628.638671875,24710.013671875,27515008.0
2026-03-09 16:45:00,24710.517578125,24718.251953125,24678.103515625,24679.4921875,27235974.0
2026-03-09 17:00:00,24681.140625,24681.140625,24639.576171875,24651.640625,26346016.0
2026-03-09 17:15:00,24654.080078125,24656.90625,24580.2890625,24584.28515625,23488688.0
2026-03-09 17:30:00,24584.0625,24591.275390625,24549.318359375,24555.638671875,24018298.0
2026-03-09 17:45:00,24556.412109375,24598.095703125,24556.412109375,24581.576171875,20763751.0
2026-03-09 18:00:00,24582.701171875,24617.357421875,24582.701171875,24609.24609375,23970008.0
2026-03-09 18:15:00,24610.74609375,24648.09375,24605.91015625,24620.70703125,23034768.0
2026-03-09 18:30:00,24619.095703125,24668.66015625,24618.962890625,24658.60546875,28371317.0
2026-03-09 18:45:00,24658.16015625,24677.1640625,24624.3203125,24625.349609375,24955534.0
2026-03-09 19:00:00,24619.724609375,24651.083984375,24616.16796875,24637.953125,26057706.0
2026-03-09 19:15:00,24638.05078125,24925.470703125,24635.87890625,24924.23828125,60315112.0
2026-03-09 19:30:00,24922.10546875,25019.15625,24869.986328125,24941.392578125,69033300.0
2026-03-09 19:45:00,24935.833984375,24985.59765625,24909.9765625,24967.349609375,80341445.0
2026-03-10 13:30:00,25006.998046875,25048.697265625,24938.220703125,25003.1640625,47990618.0
2026-03-10 13:45:00,24993.1640625,25021.412109375,24927.7890625,24942.619140625,53337970.0
2026-03-10 14:00:00,24942.34375,24963.466796875,24871.52734375,24903.9921875,45851035.0
2026-03-10 14:15:00,24900.57421875,24994.619140625,24877.1875,24977.408203125,40705137.0
2026-03-10 14:30:00,24976.41796875,25081.939453125,24976.41796875,25072.94921875,40297190.0
2026-03-10 14:45:00,25076.71484375,25117.44921875,25061.076171875,25112.77734375,39560772.0
2026-03-10 15:00:00,25116.12890625,25149.037109375,25093.109375,25097.87890625,37830690.0
2026-03-10 15:15:00,25097.587890625,25147.45703125,25097.587890625,25112.591796875,33738064.0
2026-03-10 15:30:00,25114.958984375,25140.283203125,25086.97265625,25122.716796875,35045272.0
