datetime,open,high,low,close,volume
2025-05-05,2863.758125604825,2930.9130723235367,2850.7093033269707,2924.341617768315,0.0
2025-05-06,2974.799035061118,3041.252608533838,2954.621952728155,3015.3704167879305,0.0
2025-05-07,3013.994204725111,3018.1650803780826,2957.268448464329,2981.109736181624,0.0
2025-05-08,2998.3532969582575,3017.066148583185,2900.9293471671645,2915.7438854160855,0.0
2025-05-09,2939.1779177540507,2978.1677805444665,2921.75919394381,2971.6076810693444,0.0
2025-05-12,2939.2733222860456,2980.301021158332,2850.6874119282425,2867.410015381986,0.0
2025-05-13,2912.8722739210616,2930.064178680859,2883.936607884468,2920.352775809563,0.0
2025-05-14,2890.3344742822887,2891.1426770123817,2815.6450177720335,2844.203468673816,0.0
2025-05-15,2817.9392237787233,2888.7299254499735,2783.2811170837385,2880.2718884257206,0.0
2025-05-16,2883.7561669303764,2897.3811698076142,2828.801670043217,2842.9260036518895,0.0
2025-05-19,2891.068370200553,2900.59763059261,2860.4351296937148,2886.1521951708105,0.0
2025-05-20,2865.5539992215026,2935.459572266929,2844.2187543769573,2920.123306482114,0.0
2025-05-21,2917.623155841949,2939.1059709380356,2895.7049692249616,2931.7090964928484,0.0
2025-05-22,2936.4089622104075,2953.7330236690855,2893.6343716137776,2905.5207609153176,0.0
2025-05-23,2949.872592006506,2981.9322572378055,2921.356442190031,2981.427806053659,0.0
2025-05-27,2926.201529452539,2950.0695591580416,2889.2069545671975,2896.873743909599,0.0
2025-05-28,2905.15273977637,2918.755444185328,2902.979072365385,2905.15273977637,0.0
2025-05-29,2923.0841377764687,2964.9621517106348,2851.8528829597544,2952.8162813461163,0.0
2025-05-30,2913.50888445463,2932.547877133779,2871.6211577516865,2890.4825807024795,0.0
2025-06-02,2903.909447554356,2977.13254840902,2879.6113638879106,2968.8245798889548,0.0
2025-06-03,2955.53068513602,2982.1491992129086,2908.1250300490965,2925.059369406914,0.0
2025-06-04,2946.9985165415515,2975.515631075246,2924.4615267851705,2963.2487319084717,0.0
2025-06-05,2951.748381073746,2980.848086760982,2909.019006069024,2933.537937516079,0.0
2025-06-06,2937.269583301633,2958.329753129346,2885.1462148236515,2900.949784313834,0.0
2025-06-09,2906.4219676682105,2928.2791502326436,2875.789185431763,2920.885703056693,0.0
2025-06-10,2889.3821793092857,2940.141243209038,2884.2638481545478,2905.9203504245847,0.0
2025-06-11,2909.7369052504073,2942.3059241980327,2890.3614408835156,2903.8790040520357,0.0
2025-06-12,2921.9762361015,2952.2257020648262,2883.7226888378696,2937.5287455504968,0.0
2025-06-13,2937.263116356296,2996.6244010716764,2934.2646238664984,2957.866027938139,0.0
2025-06-16,2978.3627473451306,2986.589195600588,2914.727729661058,2938.9049808911286,0.0
2025-06-17,2941.9083891995137,2951.8313243206217,2916.950495502283,2931.7797413428793,0.0
2025-06-18,2948.1901399816347,2954.0055958640023,2918.5513169587352,2952.10910002611,0.0
2025-06-20,2909.8100473833147,2933.9507119207187,2896.513408175043,2925.531792463546,0.0
2025-06-23,2926.6498958344455,2957.4334409617713,2899.9944790190857,2936.910038047714,0.0
2025-06-24,2895.0659799646123,2899.0958191662207,2836.912344486549,2860.0630134643593,0.0
2025-06-25,2860.4292134240886,2873.9593655062927,2846.255381466607,2865.1655935455046,0.0
2025-06-26,2852.1678047267455,2856.8094192877015,2837.672016795684,2853.109367327022,0.0
2025-06-27,2838.384541819346,2840.3094263292337,2768.9837577102335,2799.8973913504497,0.0
2025-06-30,2784.8329653442406,2824.224774201798,2771.069075812382,2809.134916379345,0.0
2025-07-01,2808.2228808344025,2850.247344452543,2797.9944822324114,2830.7896658456207,0.0
2025-07-02,2819.8627466424,2857.6353728564754,2818.797358257796,2835.9568866803106,0.0
2025-07-03,2849.093376212765,2868.391077572218,2812.326839127018,2823.331282100602,0.0
2025-07-04,2839.0624284847563,2842.6383809488757,2827.2928486018245,2830.9920834606373,0.0
2025-07-07,2805.8406791766038,2844.3382089255574,2798.282338029274,2828.5046662073332,0.0
2025-07-08,2837.6338797248072,2853.731741917357,2794.427120618393,2817.696227304704,0.0
2025-07-09,2805.562133621222,2834.6960253060215,2798.2329913152503,2824.4969026298086,0.0
2025-07-10,2833.1362665176816,2854.9378372631027,2818.171597773601,2827.8510343347475,0.0
2025-07-11,2845.912351438498,2888.763979200203,2843.24779624387,2867.7021022151625,0.0
2025-07-14,2882.185734384077,2895.7739386191874,2863.5799971325314,2868.9175790876848,0.0
2025-07-15,2863.8048034006374,2879.641300456816,2847.9112237263644,2854.2045418131283,0.0
2025-07-16,2878.5105206066846,2899.4202990820377,2841.661570474501,2888.2457384656814,0.0
2025-07-17,2847.9460961001264,2887.620691996635,2847.9460961001264,2870.5488845253935,0.0
2025-07-18,2873.9230367869854,2887.368773838986,2860.603772752254,2886.664694535135,0.0
2025-07-21,2880.5547060203594,2937.337215788583,2859.413995589045,2924.919747571305,0.0
2025-07-22,2916.7461142558327,2946.046653052926,2890.0291134000536,2940.859892620761,0.0
2025-07-23,2922.101024034686,2931.8637182371103,2882.8665785418507,2891.2640963946446,0.0
2025-07-24,2859.626585443368,2873.03599585839,2856.394514441283,2863.0238252241147,0.0
2025-07-25,2844.4730799518707,2857.165204850153,2828.48959407881,2835.9668805501005,0.0
2025-07-28,2829.5062511045808,2865.472587603785,2811.312068346333,2814.621276072801,0.0
2025-07-29,2865.801061978924,2884.9105007881617,2864.77065844709,2865.801061978924,0.0
2025-07-30,2879.2449763071572,2907.495554519668,2820.335741746373,2853.273075404801,0.0
2025-07-31,2863.5910433831564,2903.597188274024,2855.866983843357,2881.3523681223674,0.0
2025-08-01,2876.6409598402493,2949.2962590557127,2832.618636892308,2930.476216872338,0.0
2025-08-04,2906.4408250041256,2931.79474686095,2888.471327319256,2912.3094642049496,0.0
2025-08-05,2916.4902279111275,2937.7185199276887,2891.9181676499484,2919.425193712933,0.0
2025-08-06,2919.640120169141,2925.4380147263614,2886.1130023780524,2919.0356283322194,0.0
2025-08-07,2902.213235914893,2947.1511290494586,2894.224943220609,2915.4173217819625,0.0
2025-08-08,2945.0227889827183,2989.49006562445,2913.288464997043,2945.27975380303,0.0
2025-08-11,2905.1456181965204,2919.3920921528006,2868.254986167712,2878.703371022712,0.0
2025-08-12,2888.681400110114,2893.446879358205,2847.5686074235814,2882.3982478615903,0.0
2025-08-13,2876.40926322048,2881.6267015228755,2863.19085203828,2876.323541587314,0.0
2025-08-14,2857.364084243356,2883.542381530362,2841.415654180645,2847.4603846099435,0.0
2025-08-15,2872.4579931955213,2873.328176931964,2847.4908234531786,2863.188635561171,0.0
2025-08-18,2847.542138716769,2870.772065150091,2844.9386844866526,2846.0045011316984,0.0
2025-08-19,2854.0480484898417,2872.1666864307067,2833.553426119962,2839.650070207615,0.0
2025-08-20,2843.5406958099456,2876.413023185599,2835.7958890295754,2871.7131046459003,0.0
2025-08-21,2874.5890778967237,2886.747194091214,2852.440578500088,2863.8610775022157,0.0
2025-08-22,2884.168252985736,2915.934617828384,2855.329867862451,2905.6957529639226,0.0
2025-08-25,2874.5639986293013,2895.2837092614545,2872.0731227835336,2881.2252403253433,0.0
2025-08-26,2908.219248774556,2927.3753405324755,2890.0439460083253,2916.5682071752226,0.0
2025-08-27,2918.5324487911835,2941.4042347165932,2904.7996880825926,2925.062072466116,0.0
2025-08-28,2926.694553102028,2953.3438076370217,2909.040052295117,2946.268850173232,0.0
2025-08-29,2938.391720224594,2982.2385670417516,2926.8647443825334,2973.6609395682485,0.0
2025-09-02,2975.184268652282,3064.7201118858147,2975.1494557207448,3029.554723738861,0.0
2025-09-03,3054.994959331036,3095.39738747868,3041.539065382719,3087.9958332163715,0.0
2025-09-04,3044.394012243325,3072.1525848073125,3042.441610295297,3058.0299772233134,0.0
2025-09-05,3060.672938912687,3100.5950431754973,3034.057026396882,3099.6196989976406,0.0
2025-09-08,3068.7682524574793,3110.4333168661115,3053.797736151356,3105.991397676994,0.0
2025-09-09,3098.8681230715065,3132.099116580401,3079.5306125588036,3095.639297466429,0.0
2025-09-10,3097.562610408213,3127.3043980214907,3086.7321621352175,3113.4563944219904,0.0
2025-09-11,3104.131262036477,3116.750529725029,3080.63331748022,3107.5490619709412,0.0
2025-09-12,3115.1074018013333,3124.7723579314493,3100.921472245972,3109.9090816370067,0.0
2025-09-15,3104.0827643359785,3146.158055463312,3087.2907185967033,3140.069616283351,0.0
2025-09-16,3129.447588998046,3145.511322068293,3105.9971349670304,3135.8231139451027,0.0
2025-09-17,3090.6190156529237,3113.994192606967,3083.982733720491,3101.4012653965838,0.0
2025-09-18,3090.2204245808794,3120.8470452849965,3069.6280014637127,3081.0035870619013,0.0
2025-09-19,3103.1979051790204,3142.1927473482297,3101.787766441705,3113.799155196713,0.0
2025-09-22,3142.3833929805473,3196.165283960205,3128.899032451171,3187.1139201524975,0.0
2025-09-23,3175.1329340659254,3213.4432965991355,3164.1147639555447,3203.604985482042,0.0
2025-09-24,3190.834186755072,3215.7544086521066,3158.3645872341526,3158.9241937898987,0.0
2025-09-25,3186.8070982316135,3219.0796931272394,3168.788601506047,3181.783418512762,0.0
2025-09-26,3237.055482370604,3237.9994020804493,3226.144847475974,3237.055482370604,0.0
2025-09-29,3206.974698154349,3269.956927077891,3194.2459468959346,3263.4305826274726,0.0
2025-09-30,3262.5993816918685,3300.131779072023,3225.831264526145,3273.9364766841904,0.0
2025-10-01,3292.049748373345,3321.619759674248,3271.374859968422,3295.4581084078977,0.0
2025-10-02,3286.3308409973056,3327.669744409617,3251.674293658076,3272.269210489796,0.0
2025-10-03,3287.984215119125,3317.4616014041158,3277.880128624171,3309.8177692966906,0.0
2025-10-06,3356.5046734184607,3397.9571354118984,3347.204284371239,3371.189819750188,0.0
2025-10-07,3381.1295913664867,3416.0873081705863,3364.366113741664,3395.81769834804,0.0
2025-10-08,3421.1373708010665,3489.6006012848807,3421.6157941358474,3469.2729403605963,0.0
2025-10-09,3448.4286554509977,3503.442522388878,3382.0958319557258,3392.6342084769008,0.0
2025-10-10,3421.103487340966,3470.3398197036995,3392.5381606632377,3437.4437758976014,0.0
2025-10-13,3461.350172601817,3556.426361116385,3453.2379352725134,3541.161269216709,0.0
2025-10-14,3572.0199687250497,3603.312291135875,3520.0392339511873,3578.071748524911,0.0
2025-10-15,3572.5754588169993,3629.0319136530366,3558.4825750841396,3600.0699843301336,0.0
2025-10-16,3605.257471689094,3699.110206035706,3593.5066271408123,3675.151103238654,0.0
2025-10-17,3722.0927807960943,3738.161644590336,3565.8693828505925,3581.2330308201153,0.0
2025-10-20,3640.673921953446,3741.0559250122506,3609.383709854563,3719.8505398924876,0.0
2025-10-21,3720.8364083237884,3735.5674990328416,3506.837801153438,3510.435091049884,0.0
2025-10-22,3542.7260456975523,3583.1839269725347,3448.525143316705,3486.4345797273736,0.0
2025-10-23,3513.2968279575966,3570.389316362165,3502.8371643390674,3553.870736268329,0.0
2025-10-24,3544.0556466534777,3551.7101296607843,3498.4645468024414,3544.8302195697624,0.0
2025-10-27,3490.463259984348,3510.369468225943,3408.963792534815,3440.513443168919,0.0
2025-10-28,3372.6258101176177,3410.9320799922493,3362.5251886913215,3403.9515712695816,0.0
2025-10-29,3417.17796093514,3428.372121987464,3414.8275735569496,3417.17796093514,0.0
2025-10-30,3412.806969509833,3487.4746256724848,3363.825001767442,3448.400175187035,0.0
2025-10-31,3486.292049116942,3501.018218953505,3434.668861023549,3441.0985321017183,0.0
2025-11-03,3449.1544702853225,3493.7820194501423,3430.0776700031874,3470.06009892225,0.0
2025-11-04,3467.444875218864,3482.2704875263776,3405.3699288721364,3427.077295060447,0.0
2025-11-05,3421.606658135758,3472.9348483174576,3417.912315401377,3465.4880497913337,0.0
2025-11-06,3482.719009641561,3486.645111787844,3447.906867801503,3461.756505085707,0.0
2025-11-07,3446.8153656501668,3468.559401928988,3434.7139684324156,3462.9202340459988,0.0
2025-11-10,3513.7676868409058,3561.9288844690427,3505.3636308993014,3561.887687845161,0.0
2025-11-11,3582.2214951586957,3585.0780910153785,3538.418605759483,3553.44946822035,0.0
2025-11-12,3551.351264743997,3636.00720705266,3537.6022610974255,3628.39688042165,0.0
2025-11-13,3647.803875918612,3651.7784347992233,3574.203460057762,3611.8292558043922,0.0
2025-11-14,3609.1409353915824,3616.364803018747,3472.730711053313,3514.1098624774395,0.0
2025-11-17,3504.188511800103,3539.221290800912,3459.899475532907,3502.5217773448126,0.0
2025-11-18,3483.5089671016335,3510.858890665511,3476.871171769912,3503.9680720050173,0.0
2025-11-19,3528.2656970479525,3573.9687438446604,3511.0817272077184,3520.9717463599573,0.0
2025-11-20,3504.9924321030057,3554.4756833760885,3497.601141633964,3514.9571819099733,0.0
2025-11-21,3495.167408080435,3554.777674772738,3490.127645636756,3534.3358484513255,0.0
2025-11-24,3528.4526943420665,3557.293327061367,3515.1748941250703,3555.8200401210574,0.0
2025-11-25,3592.8257438333576,3595.5163461188977,3573.371724691463,3593.03282766979,0.0
2025-11-26,3569.6701796265233,3611.3770125373176,3557.4922089908723,3601.607134886921,0.0
2025-11-28,3589.059019325765,3654.7292738502306,3566.89969753773,3636.5117938031135,0.0
2025-12-01,3635.967322950338,3677.38254024612,3617.353634711067,3654.107012371025,0.0
2025-12-02,3644.5756900435154,3649.1871998364613,3584.8700665812444,3606.7559247965432,0.0
2025-12-03,3625.16483772647,3641.2414750971407,3593.4913226928293,3611.3979611849054,0.0
2025-12-04,3609.4165237011457,3614.145423905764,3573.7998909362827,3610.060016822563,0.0
2025-12-05,3610.3550770943084,3659.6895653630504,3593.8056016194896,3618.4595867094354,0.0
2025-12-08,3612.6087118674927,3629.0025936332386,3577.1926483513407,3597.1816616225587,0.0
2025-12-09,3599.8117037954853,3632.360088853616,3583.9236587855657,3613.555704696612,0.0
2025-12-10,3619.5716598311224,3643.405886713928,3588.7758122929745,3608.77788466822,0.0
2025-12-11,3609.6614710508215,3669.3289710904473,3583.756107455988,3662.4314424809036,0.0
2025-12-12,3642.166932132092,3715.8164777196284,3626.537980978051,3662.954252794217,0.0
2025-12-15,3670.542084804681,3708.693225293463,3647.5913209672726,3669.1364111764015,0.0
2025-12-16,3632.914314920752,3679.0238917901725,3617.6258127869287,3661.9673496691134,0.0
2025-12-17,3666.9213834668976,3717.705568850224,3664.3360558597988,3700.1574420960624,0.0
2025-12-18,3688.4093976261265,3712.0598708643683,3680.7878511086237,3695.605105979314,0.0
2025-12-19,3709.9829269525094,3726.3798263783074,3706.1546794370297,3719.5326114693457,0.0
2025-12-22,3732.526193175913,3797.8503100798157,3713.6866380104434,3796.1773646507377,0.0
2025-12-23,3827.895048576725,3828.3650583942895,3770.378613165107,3809.976631599104,0.0
2025-12-24,3815.5586724891887,3824.7823242130253,3783.841299285582,3798.5629437055486,0.0
2025-12-26,3828.973507837482,3873.401794588063,3815.4452069506133,3842.986979126628,0.0
2025-12-29,3712.5400399896735,3725.5216680616945,3668.895982095591,3673.826634273315,0.0
2025-12-30,3691.832012444003,3748.9608942765744,3682.0943708543937,3712.006558249524,0.0
2025-12-31,3689.195389159426,3723.106610373888,3644.092765988508,3682.2103293948667,0.0
2026-01-02,3702.273435301503,3714.1941707812825,3666.377126435466,3671.683829349399,0.0
2026-01-05,3747.2510004754545,3810.879052872106,3741.7251416865956,3790.7098053925683,0.0
2026-01-06,3797.819261574526,3836.135753550597,3787.878820898428,3826.050843708095,0.0
2026-01-07,3807.3754099149855,3811.736691400019,3801.0370556851644,3806.642769838822,0.0
2026-01-08,3819.4926013983586,3828.509250587385,3780.924362680276,3810.723443875254,0.0
2026-01-09,3836.805194183702,3864.5315488693786,3836.0446185464734,3851.73424671598,0.0
2026-01-12,3939.0333760233216,3974.8631615999566,3913.1032691284577,3961.1253959723836,0.0
2026-01-13,3924.089083417367,3968.2128191646098,3921.570933387652,3933.494997788386,0.0
2026-01-14,3959.602289390284,3982.9482292099683,3951.070928662089,3973.621511991039,0.0
2026-01-15,3961.2355750110482,3981.650823791858,3960.635922252587,3963.7396724241257,0.0
2026-01-16,3969.1470693393862,3977.395264625618,3946.482461405454,3952.4477706780067,0.0
2026-01-20,4005.342918181539,4095.0866856415837,3968.4967185272503,4089.3057733311566,0.0
2026-01-21,4147.592733548395,4165.426771183293,4063.409252549818,4119.9309675995655,0.0
